2025-09-07 08:12:09.874 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 08:13:35.244 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:14:01.125 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 08:14:06.026 | INFO     | crawler.content_processor:_generate_image_prompts:167 - 生成了 3 个图片提示词
2025-09-07 08:14:06.216 | INFO     | crawler.content_processor:_generate_summary:104 - 早报摘要生成成功
2025-09-07 08:14:10.301 | INFO     | crawler.content_processor:_analyze_trends:133 - 分析出 11 个发展趋势
2025-09-07 08:14:10.454 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 08:19:15.555 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:19:15.556 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:19:35.304 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 36氪
2025-09-07 08:19:35.305 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 36氪 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.305 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 虎嗅网
2025-09-07 08:19:35.306 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 虎嗅网 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.306 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 机器之心
2025-09-07 08:19:35.306 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 机器之心 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.306 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI科技大本营
2025-09-07 08:19:35.307 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 AI科技大本营 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.307 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 量子位
2025-09-07 08:19:35.307 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 量子位 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.307 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 新智元
2025-09-07 08:19:35.308 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 新智元 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.308 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI前线
2025-09-07 08:19:35.308 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 AI前线 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.308 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 雷锋网
2025-09-07 08:19:35.309 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 雷锋网 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 08:19:35.309 | INFO     | crawler.main:crawl_news_sources:143 - 总共获取到 0 篇去重后的文章
2025-09-07 08:20:17.705 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 08:20:17.706 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:20:19.907 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:20:19.907 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:21:46.757 | INFO     | crawler.main:cleanup:267 - 爬虫引擎已关闭
2025-09-07 08:21:46.757 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:21:49.025 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:21:49.026 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 36氪
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 36氪 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 虎嗅网
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 虎嗅网 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 机器之心
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 机器之心 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI科技大本营
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 AI科技大本营 时发生错误: 'ForwardRef' object is not callable
